newvars,oldvars
tenure_by_units_hh_owner_5_to_9,B25032_007E
tenure_by_units_hh_owner_10_to_19,B25032_008E
tenure_by_units_hh_owner_20_to_49,B25032_009E
tenure_by_units_hh_owner_50_plus,B25032_010E
tenure_by_units_hh_owner_mobile,B25032_011E
tenure_by_units_hh_owner_other,B25032_012E
tenure_by_units_hh_renter,B25032_013E
tenure_by_units_hh_renter_1_detached,B25032_014E
tenure_by_units_hh_renter_1_attached,B25032_015E
tenure_by_units_hh_renter_2,B25032_016E
tenure_by_units_hh_renter_3_to_4,B25032_017E
tenure_by_units_hh_renter_5_to_9,B25032_018E
tenure_by_units_hh_renter_10_to_19,B25032_019E
tenure_by_units_hh_renter_20_to_49,B25032_020E
tenure_by_units_hh_renter_50_plus,B25032_021E
tenure_by_units_hh_renter_mobile,B25032_022E
tenure_by_units_hh_renter_other,B25032_023E
tenure_by_year_built_hh_total,B25036_001E
tenure_by_year_built_hh_owner,B25036_002E
tenure_by_year_built_hh_owner_2014_plus,B25036_003E
tenure_by_year_built_hh_owner_2010_to_2013,B25036_004E
tenure_by_year_built_hh_owner_2000_to_2009,B25036_005E
tenure_by_year_built_hh_owner_1990_to_1999,B25036_006E
tenure_by_year_built_hh_owner_1980_to_1989,B25036_007E
tenure_by_year_built_hh_owner_1970_to_1979,B25036_008E
tenure_by_year_built_hh_owner_1960_to_1969,B25036_009E
tenure_by_year_built_hh_owner_1950_to_1959,B25036_010E
tenure_by_year_built_hh_owner_1940_to_1949,B25036_011E
tenure_by_year_built_hh_owner_1939_less,B25036_012E
tenure_by_year_built_hh_renter,B25036_013E
tenure_by_year_built_hh_renter_2014_plus,B25036_014E
tenure_by_year_built_hh_renter_2010_to_2013,B25036_015E
tenure_by_year_built_hh_renter_2000_to_2009,B25036_016E
tenure_by_year_built_hh_renter_1990_to_1999,B25036_017E
tenure_by_year_built_hh_renter_1980_to_1989,B25036_018E
tenure_by_year_built_hh_renter_1970_to_1979,B25036_019E
tenure_by_year_built_hh_renter_1960_to_1969,B25036_020E
tenure_by_year_built_hh_renter_1950_to_1959,B25036_021E
